Symptom,Disease,Specialist,Disease_Label,Description
itching  vomiting  yellowish_skin  nausea  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  skin_rash  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  burning_micturition,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
 skin_rash  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  burning_micturition,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
 vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
